au_id,title_id,pub_id,price,stor_id,qty,job_id,emp_id
807-91-6654,TC3218,0877,21,7067,40,13,PMA42628M
648-92-1872,TC4203,0877,12,7067,20,13,PMA42628M
267-41-2394,TC7777,0877,15,7067,20,13,PMA42628M
472-27-2349,TC7777,0877,15,7067,20,13,PMA42628M
672-71-3249,TC7777,0877,15,7067,20,13,PMA42628M
722-51-5454,MC3021,0877,3,7131,25,13,PMA42628M
899-46-2035,MC3021,0877,3,7131,25,13,PMA42628M
724-80-9391,PS1372,0877,22,7131,20,13,PMA42628M
756-30-7391,PS1372,0877,22,7131,20,13,PMA42628M
712-45-1867,MC2222,0877,20,7896,10,13,PMA42628M
722-51-5454,MC3021,0877,3,8042,15,13,PMA42628M
899-46-2035,MC3021,0877,3,8042,15,13,PMA42628M
213-46-8915,BU1032,1389,20,6380,5,14,PSA89086M
409-56-7008,BU1032,1389,20,6380,5,14,PSA89086M
427-17-2319,PC8888,1389,20,7066,50,14,PSA89086M
846-92-7186,PC8888,1389,20,7066,50,14,PSA89086M
274-80-9391,BU7832,1389,20,7896,15,14,PSA89086M
213-46-8915,BU1032,1389,20,8042,10,14,PSA89086M
409-56-7008,BU1032,1389,20,8042,10,14,PSA89086M
267-41-2394,BU1111,1389,12,8042,25,14,PSA89086M
724-80-9391,BU1111,1389,12,8042,25,14,PSA89086M
238-95-7766,PC1035,1389,23,8042,30,14,PSA89086M
807-91-6654,TC3218,0877,21,7067,40,6,VPA30890F
648-92-1872,TC4203,0877,12,7067,20,6,VPA30890F
267-41-2394,TC7777,0877,15,7067,20,6,VPA30890F
472-27-2349,TC7777,0877,15,7067,20,6,VPA30890F
672-71-3249,TC7777,0877,15,7067,20,6,VPA30890F
722-51-5454,MC3021,0877,3,7131,25,6,VPA30890F
899-46-2035,MC3021,0877,3,7131,25,6,VPA30890F
724-80-9391,PS1372,0877,22,7131,20,6,VPA30890F
756-30-7391,PS1372,0877,22,7131,20,6,VPA30890F
712-45-1867,MC2222,0877,20,7896,10,6,VPA30890F
722-51-5454,MC3021,0877,3,8042,15,6,VPA30890F
899-46-2035,MC3021,0877,3,8042,15,6,VPA30890F
807-91-6654,TC3218,0877,21,7067,40,12,H-B39728F
648-92-1872,TC4203,0877,12,7067,20,12,H-B39728F
267-41-2394,TC7777,0877,15,7067,20,12,H-B39728F
472-27-2349,TC7777,0877,15,7067,20,12,H-B39728F
672-71-3249,TC7777,0877,15,7067,20,12,H-B39728F
722-51-5454,MC3021,0877,3,7131,25,12,H-B39728F
899-46-2035,MC3021,0877,3,7131,25,12,H-B39728F
724-80-9391,PS1372,0877,22,7131,20,12,H-B39728F
756-30-7391,PS1372,0877,22,7131,20,12,H-B39728F
712-45-1867,MC2222,0877,20,7896,10,12,H-B39728F
722-51-5454,MC3021,0877,3,8042,15,12,H-B39728F
899-46-2035,MC3021,0877,3,8042,15,12,H-B39728F
807-91-6654,TC3218,0877,21,7067,40,7,L-B31947F
648-92-1872,TC4203,0877,12,7067,20,7,L-B31947F
267-41-2394,TC7777,0877,15,7067,20,7,L-B31947F
472-27-2349,TC7777,0877,15,7067,20,7,L-B31947F
672-71-3249,TC7777,0877,15,7067,20,7,L-B31947F
722-51-5454,MC3021,0877,3,7131,25,7,L-B31947F
899-46-2035,MC3021,0877,3,7131,25,7,L-B31947F
724-80-9391,PS1372,0877,22,7131,20,7,L-B31947F
756-30-7391,PS1372,0877,22,7131,20,7,L-B31947F
712-45-1867,MC2222,0877,20,7896,10,7,L-B31947F
722-51-5454,MC3021,0877,3,8042,15,7,L-B31947F
899-46-2035,MC3021,0877,3,8042,15,7,L-B31947F
213-46-8915,BU1032,1389,20,6380,5,10,A-C71970F
409-56-7008,BU1032,1389,20,6380,5,10,A-C71970F
427-17-2319,PC8888,1389,20,7066,50,10,A-C71970F
846-92-7186,PC8888,1389,20,7066,50,10,A-C71970F
274-80-9391,BU7832,1389,20,7896,15,10,A-C71970F
