title,type,pub_id,price,advance,royalty,ytd_sales,notes,pubdate,lorange,hirange,au_id
The Busy Executive's Database Guide,business    ,1389,19.9900,5000.0000,10,4095,An overview of available database systems with emphasis on common business applications. Illustrated.,1991-06-12T00:00:00.000+0000,0,5000,213-46-8915
The Busy Executive's Database Guide,business    ,1389,19.9900,5000.0000,10,4095,An overview of available database systems with emphasis on common business applications. Illustrated.,1991-06-12T00:00:00.000+0000,5001,50000,213-46-8915
The Busy Executive's Database Guide,business    ,1389,19.9900,5000.0000,10,4095,An overview of available database systems with emphasis on common business applications. Illustrated.,1991-06-12T00:00:00.000+0000,0,5000,409-56-7008
The Busy Executive's Database Guide,business    ,1389,19.9900,5000.0000,10,4095,An overview of available database systems with emphasis on common business applications. Illustrated.,1991-06-12T00:00:00.000+0000,5001,50000,409-56-7008
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,0,4000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,4001,8000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,8001,10000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,12001,16000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,16001,20000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,20001,24000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,24001,28000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,28001,50000,267-41-2394
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,0,4000,724-80-9391
Cooking with Computers: Surreptitious Balance Sheets,business    ,1389,11.9500,5000.0000,10,3876,Helpful hints on how to use your electronic resources to the best advantage.,1991-06-09T00:00:00.000+0000,4001,8000,724-80-9391
